pair,family_type,assessment_family,projects,lineages,left_enabled,right_enabled,left_proportion,right_proportion,left_minus_right_percentage_points,ci_low_percentage_points,ci_high_percentage_points,cohort,observational_unit
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateDevices,239,434,55,44,0.12672811059907835,0.10138248847926268,2.5345622119815667,0.6492459153749477,5.217675475987492,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateMounts,239,434,434,434,1.0,1.0,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateNetwork,239,434,17,17,0.03917050691244239,0.03917050691244239,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateTmp,239,434,78,64,0.17972350230414746,0.14746543778801843,3.225806451612903,0.5713878713878714,6.722891079508724,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,PrivateUsers,239,434,16,12,0.03686635944700461,0.027649769585253458,0.9216589861751152,0.0,2.5316455696202533,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProcSubset,239,434,7,6,0.016129032258064516,0.013824884792626729,0.2304147465437788,0.0,0.8670520231213872,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectClock,239,434,40,29,0.09216589861751152,0.06682027649769585,2.5345622119815667,0.702576112412178,5.172413793103448,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectControlGroups,239,434,71,63,0.16359447004608296,0.14516129032258066,1.8433179723502304,-0.3414601572933669,4.657713966212706,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectHome,239,434,68,53,0.15668202764976957,0.12211981566820276,3.4562211981566824,1.196378041878891,6.629834254143646,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectHostname,239,434,52,42,0.11981566820276497,0.0967741935483871,2.3041474654377883,0.5757606896577034,4.848701298701295,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectKernelLogs,239,434,56,46,0.12903225806451613,0.10599078341013825,2.3041474654377883,0.5249343832020997,4.788774563548958,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectKernelModules,239,434,67,59,0.1543778801843318,0.1359447004608295,1.8433179723502304,-0.2890805372520602,4.68341775526526,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectKernelTunables,239,434,54,45,0.12442396313364056,0.10368663594470046,2.0737327188940093,0.0,4.864996489996488,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectProc,239,434,28,23,0.06451612903225806,0.052995391705069124,1.1520737327188941,0.0,2.895918440113688,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,ProtectSystem,239,434,52,43,0.11981566820276497,0.09907834101382489,2.0737327188940093,0.2272598433312719,4.60137247077992,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,RemoveIPC,239,434,25,19,0.0576036866359447,0.04377880184331797,1.3824884792626728,0.0,3.385527012711863,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictAddressFamilies,239,434,63,56,0.14516129032258066,0.12903225806451613,1.6129032258064515,0.19645402365268305,3.7737220272049123,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictNamespaces,239,434,53,45,0.12211981566820276,0.10368663594470046,1.8433179723502304,0.20574023477028947,4.069925429726995,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictRealtime,239,434,68,60,0.15668202764976957,0.1382488479262673,1.8433179723502304,0.0,4.348142062689581,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,RestrictSUIDSGID,239,434,54,45,0.12442396313364056,0.10368663594470046,2.0737327188940093,0.23089403396028985,4.502423039152896,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,RootDirectoryOrRootImage,239,434,0,0,0.0,0.0,0.0,0.0,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,SupplementaryGroups,239,434,95,104,0.21889400921658986,0.23963133640552994,-2.0737327188940093,-4.776476896952364,0.0,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,SystemCallArchitectures,239,434,54,48,0.12442396313364056,0.11059907834101383,1.3824884792626728,-0.22172949002217296,3.8781163434903045,C1X,paired lineage
Ubuntu ↔ Fedora,CROSS_FAMILY,SystemCallFilter,239,434,53,44,0.12211981566820276,0.10138248847926268,2.0737327188940093,0.6072567783094099,4.3245753493431485,C1X,paired lineage
