distribution,assessment_family,added,removed,modified,total_changed,denominator,projects,change_rate,ci_low,ci_high,analysis_classification,observational_unit
fedora,ProtectKernelTunables,1,2,0,3,349,202,0.008595988538681949,0.0,0.02051319648093841,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectProc,0,0,0,0,348,202,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,ProtectSystem,1,1,5,7,349,202,0.02005730659025788,0.006396418182932894,0.03785488958990536,derived descriptive analysis,lineage-distribution assessment family
fedora,RemoveIPC,0,0,8,8,322,193,0.024844720496894408,0.00808463179439872,0.04851005389718072,derived descriptive analysis,lineage-distribution assessment family
fedora,RestrictAddressFamilies,1,2,0,3,349,202,0.008595988538681949,0.0,0.0203407125562089,derived descriptive analysis,lineage-distribution assessment family
fedora,RestrictNamespaces,1,2,0,3,348,202,0.008620689655172414,0.0,0.02064896755162242,derived descriptive analysis,lineage-distribution assessment family
fedora,RestrictRealtime,0,2,0,2,349,202,0.0057306590257879654,0.0,0.01529051987767584,derived descriptive analysis,lineage-distribution assessment family
fedora,RestrictSUIDSGID,0,0,0,0,348,202,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
fedora,RootDirectoryOrRootImage,0,0,2,2,347,201,0.005763688760806916,0.0,0.015527950310559006,derived descriptive analysis,lineage-distribution assessment family
fedora,SupplementaryGroups,8,0,0,8,322,193,0.024844720496894408,0.008151621597737716,0.047619047619047616,derived descriptive analysis,lineage-distribution assessment family
fedora,SystemCallArchitectures,0,1,0,1,348,202,0.0028735632183908046,0.0,0.010101863226863215,derived descriptive analysis,lineage-distribution assessment family
fedora,SystemCallFilter,0,0,1,1,348,202,0.0028735632183908046,0.0,0.009966777408637873,derived descriptive analysis,lineage-distribution assessment family
fedora,UMask,1,0,1,2,347,201,0.005763688760806916,0.0,0.015384615384615385,derived descriptive analysis,lineage-distribution assessment family
fedora,UserOrDynamicUser,8,0,0,8,324,193,0.024691358024691357,0.00791452849396464,0.04609929078014184,derived descriptive analysis,lineage-distribution assessment family
arch,AmbientCapabilities,0,1,0,1,196,114,0.00510204081632653,0.0,0.017045454545454544,derived descriptive analysis,lineage-distribution assessment family
arch,CapabilityBoundingSet,4,0,0,4,204,115,0.0196078431372549,0.004254868373602597,0.04255571241302809,derived descriptive analysis,lineage-distribution assessment family
arch,Delegate,0,0,0,0,196,114,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
arch,DeviceAllow,1,0,2,3,196,114,0.015306122448979591,0.0,0.035933554577591724,derived descriptive analysis,lineage-distribution assessment family
arch,IPAddressDeny,0,0,0,0,196,114,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
arch,KeyringMode,0,0,0,0,197,115,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
arch,LockPersonality,4,0,0,4,197,115,0.02030456852791878,0.004464285714285714,0.04444719471947191,derived descriptive analysis,lineage-distribution assessment family
arch,MemoryDenyWriteExecute,3,0,0,3,197,115,0.015228426395939087,0.0,0.03553299492385787,derived descriptive analysis,lineage-distribution assessment family
arch,NoNewPrivileges,4,0,0,4,197,115,0.02030456852791878,0.004131806278270925,0.043478260869565216,derived descriptive analysis,lineage-distribution assessment family
arch,NotifyAccess,0,0,0,0,197,115,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
arch,PrivateDevices,3,0,0,3,197,115,0.015228426395939087,0.0,0.0357182895579756,derived descriptive analysis,lineage-distribution assessment family
arch,PrivateMounts,0,0,0,0,196,114,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
arch,PrivateNetwork,1,0,0,1,196,114,0.00510204081632653,0.0,0.017045454545454544,derived descriptive analysis,lineage-distribution assessment family
arch,PrivateTmp,2,1,1,4,197,115,0.02030456852791878,0.004484304932735426,0.04411967825804352,derived descriptive analysis,lineage-distribution assessment family
arch,PrivateUsers,1,0,0,1,196,114,0.00510204081632653,0.0,0.01744186046511628,derived descriptive analysis,lineage-distribution assessment family
arch,ProcSubset,0,0,0,0,196,114,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectClock,2,0,0,2,197,115,0.01015228426395939,0.0,0.026741561727330176,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectControlGroups,4,0,0,4,198,115,0.020202020202020204,0.0044444444444444444,0.04444719471947191,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectHome,4,0,1,5,198,115,0.025252525252525252,0.005235602094240838,0.05128205128205128,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectHostname,4,0,0,4,198,115,0.020202020202020204,0.0043663375735712925,0.04348353735753475,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectKernelLogs,3,0,0,3,198,115,0.015151515151515152,0.0,0.03646150914634142,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectKernelModules,4,0,0,4,198,115,0.020202020202020204,0.004545454545454545,0.04411967825804352,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectKernelTunables,4,0,0,4,198,115,0.020202020202020204,0.004464285714285714,0.04375,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectProc,0,0,0,0,197,115,0.0,0.0,0.0,derived descriptive analysis,lineage-distribution assessment family
arch,ProtectSystem,3,0,2,5,198,115,0.025252525252525252,0.005180679450884035,0.05232558139534884,derived descriptive analysis,lineage-distribution assessment family
arch,RemoveIPC,2,0,2,4,175,108,0.022857142857142857,0.005208333333333333,0.04908902447245992,derived descriptive analysis,lineage-distribution assessment family
arch,RestrictAddressFamilies,2,0,0,2,198,115,0.010101010101010102,0.0,0.02717391304347826,derived descriptive analysis,lineage-distribution assessment family
arch,RestrictNamespaces,3,0,0,3,197,115,0.015228426395939087,0.0,0.0368469785575048,derived descriptive analysis,lineage-distribution assessment family
arch,RestrictRealtime,4,0,0,4,198,115,0.020202020202020204,0.004463789682539683,0.04371670081967212,derived descriptive analysis,lineage-distribution assessment family
arch,RestrictSUIDSGID,3,0,0,3,197,115,0.015228426395939087,0.0,0.0355375271936185,derived descriptive analysis,lineage-distribution assessment family
arch,RootDirectoryOrRootImage,0,0,1,1,196,114,0.00510204081632653,0.0,0.01764705882352941,derived descriptive analysis,lineage-distribution assessment family
arch,SupplementaryGroups,3,1,0,4,175,108,0.022857142857142857,0.00510204081632653,0.04819277108433735,derived descriptive analysis,lineage-distribution assessment family
arch,SystemCallArchitectures,3,0,0,3,197,115,0.015228426395939087,0.0,0.035503709488481056,derived descriptive analysis,lineage-distribution assessment family
arch,SystemCallFilter,1,0,3,4,197,115,0.02030456852791878,0.004545454545454545,0.04455445544554455,derived descriptive analysis,lineage-distribution assessment family
arch,UMask,0,1,0,1,196,114,0.00510204081632653,0.0,0.016129032258064516,derived descriptive analysis,lineage-distribution assessment family
arch,UserOrDynamicUser,3,0,1,4,175,108,0.022857142857142857,0.005263157894736842,0.048484848484848485,derived descriptive analysis,lineage-distribution assessment family
